label,trajectory,ids
1,"[[167, 67], [165, 65], [162, 65], [159, 66], [125, 58], [124, 61], [126, 65], [126, 71], [127, 71], [128, 62], [123, 59], [122, 59], [121, 59], [124, 59], [130, 62], [131, 64], [128, 67], [133, 69], [136, 67], [136, 68], [136, 68], [136, 69], [136, 71], [136, 71], [136, 72], [137, 72], [137, 72], [137, 72], [138, 73], [138, 71], [138, 66], [138, 65], [139, 70], [140, 76], [138, 78], [139, 78], [137, 78]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[157, 81], [156, 55], [165, 56], [172, 57], [177, 57], [175, 54], [173, 53], [153, 55], [170, 78], [164, 80], [162, 86], [144, 45], [130, 41], [129, 30], [98, 20], [96, 23], [106, 43], [118, 41], [135, 43], [137, 45], [140, 38]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[245, 109], [196, 74], [169, 44], [131, 34], [105, 25], [84, 18], [52, 14], [53, 14], [53, 14], [87, 14], [79, 14], [56, 14]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[147, 78], [166, 58], [166, 87], [154, 90], [132, 96]]","[[1], [1], [1], [1], [1]]"
1,"[[16, 59], [25, 46], [39, 44], [42, 39], [45, 34], [52, 44], [54, 43], [57, 42], [68, 55], [73, 54], [78, 51], [80, 50], [81, 48], [84, 48], [84, 47], [82, 46], [54, 45], [63, 43], [65, 43], [72, 43], [74, 40], [73, 40], [77, 42], [83, 48], [83, 50], [88, 51], [88, 51], [96, 48], [94, 47], [96, 47], [94, 48], [93, 50], [91, 52], [93, 53], [94, 53], [95, 53], [85, 48], [84, 34], [90, 29]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[95, 73], [63, 87], [87, 62], [96, 66], [108, 60], [140, 61], [184, 52], [206, 47], [212, 55], [240, 74], [262, 87], [282, 64], [268, 69], [254, 65], [211, 71], [191, 73], [131, 30], [115, 30], [109, 23], [107, 15], [116, 15], [146, 17], [165, 30], [196, 53], [216, 72], [218, 75], [226, 76], [250, 65], [257, 55], [253, 43], [244, 37]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[170, 124], [183, 121], [197, 117], [196, 115], [192, 114], [192, 114], [189, 125], [183, 126], [179, 130], [165, 133], [157, 139], [145, 140], [140, 134], [129, 102], [123, 95], [132, 90], [138, 83], [142, 77], [151, 62], [164, 60], [173, 62], [184, 58], [205, 74], [208, 81], [162, 132], [127, 158], [106, 148], [93, 126], [67, 112], [59, 113], [60, 112], [66, 129]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[11, 38], [13, 38], [27, 32], [47, 32], [70, 34], [69, 34], [65, 34], [73, 32], [83, 36], [107, 30], [115, 36], [125, 46], [130, 43], [137, 47], [136, 55], [128, 35], [116, 45], [114, 52], [116, 56], [112, 43], [102, 43], [97, 47], [100, 52]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[65, 67], [55, 38], [63, 32], [58, 32], [63, 23], [47, 14], [45, 14], [48, 14], [54, 14], [67, 14], [102, 15]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[44, 14], [13, 14], [8, 14], [22, 14], [38, 14], [62, 14], [76, 14], [84, 14], [40, 15], [31, 14], [23, 14], [17, 14], [22, 14], [16, 14], [27, 14], [41, 14], [69, 14], [73, 14], [73, 14], [86, 15], [95, 22], [94, 22], [80, 19], [66, 21], [55, 19], [37, 14], [35, 14], [38, 14], [45, 14], [54, 14], [54, 14]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
